Topic,Subtopic,Sub2topic,Sub3topic
History of Mathematics,Origins,Counting,Bone tally systems
History of Mathematics,Origins,Counting,Babylonian numerals
History of Mathematics,Origins,Counting,Mayan numerals
History of Mathematics,Origins,Counting,Egyptian fractions
History of Mathematics,Origins,Counting,Indus Valley numerals
History of Mathematics,Origins,Counting,Cuneiform numerals
History of Mathematics,Origins,Counting,Greek acrophonic system
History of Mathematics,Origins,Counting,Aztec numeral system
History of Mathematics,Origins,Counting,Kharosthi numerals
History of Mathematics,Origins,Counting,Etruscan numerals
History of Mathematics,Origins,Counting,Development of place value notation
History of Mathematics,Origins,Counting,Counting stones (calculi)
History of Mathematics,Origins,Counting,Counting boards in ancient Rome
History of Mathematics,Origins,Counting,Sexagesimal numeral system
History of Mathematics,Origins,Counting,Trade and barter numerical systems
History of Mathematics,Origins,Counting,Tally sticks and score marks
History of Mathematics,Origins,Counting,Japanese soroban abacus
History of Mathematics,Origins,Counting,Russian schoty abacus
History of Mathematics,Origins,Counting,Counting ropes in Pacific cultures
History of Mathematics,Origins,Counting,Early monetary accounting systems
History of Mathematics,Key Developments,Egyptians (first equations),Hieroglyphic numbers
History of Mathematics,Key Developments,Egyptians (first equations),Rhind Mathematical Papyrus
History of Mathematics,Key Developments,Egyptians (first equations),Use of unit fractions in solving linear equations
History of Mathematics,Key Developments,Egyptians (first equations),Methods for solving arithmetic sequences in Egyptian texts
History of Mathematics,Key Developments,Egyptians (first equations),Application of geometric series in Egyptian mathematics
History of Mathematics,Key Developments,Egyptians (first equations),Proportions and ratios in Egyptian problem-solving
History of Mathematics,Key Developments,Egyptians (first equations),Concept of balance in Egyptian algebraic problems
History of Mathematics,Key Developments,Egyptians (first equations),Evidence of quadratic equation solutions in Egyptian texts
History of Mathematics,Key Developments,Egyptians (first equations),Solving inverse proportion problems in ancient Egypt
History of Mathematics,Key Developments,Egyptians (first equations),Practical applications of Egyptian mathematics in trade and construction
History of Mathematics,Key Developments,Egyptians (first equations),Use of subtraction as an early algebraic tool in Egyptian math
History of Mathematics,Key Developments,Egyptians (first equations),How scribes recorded and taught mathematical methods
History of Mathematics,Key Developments,Ancient Greeks (geometry),Development of deductive reasoning in geometry
History of Mathematics,Key Developments,Ancient Greeks (geometry),Euclid’s Elements and the foundation of geometric axioms
History of Mathematics,Key Developments,Ancient Greeks (geometry),The concept of mathematical proofs in Greek geometry
History of Mathematics,Key Developments,Ancient Greeks (geometry),Pythagoras and the Pythagorean Theorem’s impact on geometry
History of Mathematics,Key Developments,Ancient Greeks (geometry),Plato’s influence on ideal geometric forms
History of Mathematics,Key Developments,Ancient Greeks (geometry),Archimedes' approximation of pi using inscribed and circumscribed polygons
History of Mathematics,Key Developments,Ancient Greeks (geometry),Eratosthenes’ calculation of the Earth’s circumference using geometric principles
History of Mathematics,Key Developments,Ancient Greeks (geometry),Hippocrates' work on squaring the lune
History of Mathematics,Key Developments,Ancient Greeks (geometry),Apollonius' study of conic sections and their classification
History of Mathematics,Key Developments,Ancient Greeks (geometry),Thales' theorem and its applications in modern trigonometry
History of Mathematics,Key Developments,Ancient Greeks (geometry),Development of geometric constructions using only a compass and straightedge
History of Mathematics,Key Developments,Ancient Greeks (geometry),Zeno’s paradoxes and their influence on geometric infinity
History of Mathematics,Key Developments,Ancient Greeks (geometry),Eudoxus' method of exhaustion and its role in early calculus concepts
History of Mathematics,Key Developments,Ancient Greeks (geometry),The Golden Ratio and its presence in Greek architecture
History of Mathematics,Key Developments,Ancient Greeks (geometry),Development of three-dimensional geometry in Greek mathematical works
History of Mathematics,Key Developments,Ancient Greeks (geometry),The role of Greek geometry in astronomy and planetary models
History of Mathematics,Key Developments,Ancient Greeks (geometry),Heron’s formula for calculating the area of a triangle
History of Mathematics,Key Developments,Ancient Greeks (geometry),The problem of doubling the cube and Greek attempts to solve it
History of Mathematics,Key Developments,Ancient Greeks (geometry),The challenge of trisecting an angle in Greek geometry
History of Mathematics,Key Developments,Ancient Greeks (geometry),The parallel postulate and its influence on non-Euclidean geometry
History of Mathematics,Key Developments,Ancient Greeks (geometry),Pappus' contributions to projective geometry
History of Mathematics,Key Developments,Ancient Greeks (geometry),Proclus’ commentaries on Euclid’s Elements and their impact
History of Mathematics,Key Developments,Ancient Greeks (geometry),The concept of symmetry in Greek geometric art and design
History of Mathematics,Key Developments,Ancient Greeks (geometry),The influence of Greek geometric principles on Islamic and Renaissance mathematics
History of Mathematics,Key Developments,China,Chinese mathematicians developed the concept of negative numbers and their operations
History of Mathematics,Key Developments,China,"The ""Nine Chapters on the Mathematical Art"" (九章算术) was an influential Chinese mathematical text"
History of Mathematics,Key Developments,China,Chinese mathematicians used counting rods to represent numbers and perform calculations
History of Mathematics,Key Developments,China,The earliest recorded use of decimal fractions was found in Chinese mathematics
History of Mathematics,Key Developments,China,The Chinese remainder theorem was developed to solve modular arithmetic problems
History of Mathematics,Key Developments,China,Liu Hui provided an accurate approximation of pi using a polygonal method
History of Mathematics,Key Developments,China,Chinese mathematicians developed early matrix methods for solving systems of equations
History of Mathematics,Key Developments,China,Zheng Xuan used negative numbers in calculations centuries before their widespread adoption in Europe
History of Mathematics,Key Developments,China,Zu Chongzhi calculated pi to an unprecedented level of accuracy (between 3.1415926 and 3.1415927)
History of Mathematics,Key Developments,China,Chinese scholars solved quadratic equations using geometric methods
History of Mathematics,Key Developments,China,Sunzi's Mathematical Classic contained early work on remainder problems
History of Mathematics,Key Developments,China,Jia Xian developed an early version of Pascal’s Triangle for binomial coefficients
History of Mathematics,Key Developments,China,Qin Jiushao introduced the method of solving higher-degree polynomial equations
History of Mathematics,Key Developments,China,Chinese mathematicians developed algorithms for extracting square and cube roots
History of Mathematics,Key Developments,China,The Warring States period saw the early use of magic squares in Chinese mathematics
History of Mathematics,Key Developments,China,The use of rod numerals led to the early development of algebraic notation
History of Mathematics,Key Developments,China,"Li Ye’s ""Ceyuan Haijing"" explored the relationship between circles and inscribed polygons"
History of Mathematics,Key Developments,China,The Yuan Dynasty saw advances in finite difference methods for interpolation
History of Mathematics,Key Developments,China,The Chinese method of solving linear equations with coefficients laid the groundwork for matrix algebra
History of Mathematics,Key Developments,China,The use of negative coefficients in polynomial equations was explored in ancient Chinese texts
History of Mathematics,Key Developments,China,"The ""Jade Mirror of the Four Unknowns"" by Zhu Shijie introduced a system of four simultaneous equations"
History of Mathematics,Key Developments,China,"The concept of ""Heavenly Element"" (天元术) was used for algebraic problem-solving"
History of Mathematics,Key Developments,China,Mathematical methods were heavily applied in Chinese engineering and astronomy
History of Mathematics,Key Developments,China,Interpolation techniques in Chinese mathematics predated similar European methods
History of Mathematics,Key Developments,China,Chinese mathematicians used iterative methods to approximate solutions for complex equations
History of Mathematics,Key Developments,China,The development of arithmetic sequences and their sums was recorded in early Chinese texts
History of Mathematics,Key Developments,China,Methods of solving simultaneous equations were systematized in Chinese mathematics long before Western counterparts
History of Mathematics,Key Developments,China,The application of mathematics in taxation and land measurement and construction was well-documented in Chinese history
